,Eigen-Patient
KDR,-0.02769667700662564
RIPK2,-0.027469222071074113
ICAM2,-0.027422440862328586
OMD,-0.02738112277706071
CNN1,-0.0272976554612223
LIFR,-0.02707364528254667
FKBP11,-0.02706791334215708
IGSF6,-0.027063400049309745
PLAGL1,-0.02678728572995025
MCTP1,-0.026676479644823597
DCHS1,-0.02640448463967114
ATF5,-0.026316934916150406
VMP1,-0.02624418023547313
TLE4,-0.026242326371976075
FAT4,-0.025926534815656824
TMPRSS3,-0.025787117876362172
PLD1,-0.025689169114136233
GALNT15,-0.02558465768118332
KLF5,-0.025542864303124777
CMPK2,-0.025537185428823262
PNKD,-0.025510029264452547
TSPAN18,-0.025487098609978193
ABI3,-0.02547566844037451
CDKN2B,-0.02545354995584845
SLC8A1,-0.025282554540341718
CSGALNACT1,-0.02520153239702337
EPHB2,-0.02511088629418332
